SEASON_ID,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,YEAR_DAY,WEEK_DAY,REST_DAYS,OPPONENT_ID,W,W%_TOTAL,W%_OPPONENT,W%_RECENT,PPG_VS_OPPONENT
2017,37,5,0.417,1,0.5,3,1.0,4,6,3,0,0,1,4,14,5,290,2,0,39,0,0.0,0.0,0.0,14.0
2017,37,3,0.429,0,0.0,2,0.4,2,7,2,1,0,2,3,8,-15,291,3,1,49,0,0.0,0.0,0.0,8.0
2017,33,3,0.375,0,0.0,9,1.0,2,6,0,0,3,3,3,15,-4,293,5,2,55,1,0.33,1.0,0.33,15.0
2017,31,9,0.6,4,0.667,0,0.0,1,3,2,4,2,3,4,22,10,297,2,4,52,1,0.5,1.0,0.5,22.0
2017,28,3,0.5,1,0.333,5,1.0,0,2,3,1,0,2,1,12,8,299,4,2,49,1,0.6,0.5,0.6,10.0
2017,31,6,0.667,2,1.0,6,0.857,2,3,0,0,0,0,1,20,2,301,6,2,48,1,0.67,1.0,0.67,20.0
2017,35,2,0.286,2,0.5,1,0.5,0,11,2,0,3,2,3,7,10,303,1,2,59,1,0.71,1.0,0.71,7.0
2017,26,4,0.571,1,0.5,3,0.75,1,3,2,0,0,2,1,12,23,305,3,2,58,1,0.75,1.0,0.75,12.0
2017,30,4,0.4,2,0.667,3,0.75,2,4,3,0,0,4,1,13,4,307,5,2,60,1,0.78,1.0,0.78,13.0
2017,27,5,0.625,2,0.5,1,0.5,0,4,3,1,0,0,4,13,6,309,7,2,53,1,0.8,1.0,0.8,13.0
2017,32,7,0.538,3,0.6,4,1.0,0,8,1,1,2,0,1,21,15,310,1,1,37,1,0.82,1.0,0.9,21.0
2017,9,1,0.5,0,0.0,3,1.0,0,1,1,1,1,1,1,5,-1,312,3,2,47,1,0.83,1.0,1.0,5.0
2017,31,6,0.5,1,0.25,3,0.75,0,2,1,0,0,2,4,16,5,314,5,2,66,1,0.85,1.0,1.0,16.0
2017,33,6,0.4,1,0.25,0,0.0,1,6,0,0,0,2,3,13,2,316,7,2,61,1,0.86,1.0,1.0,13.0
2017,30,6,0.667,2,0.667,5,0.833,1,3,0,3,1,1,1,19,5,318,2,2,51,1,0.87,1.0,1.0,19.0
2017,27,2,0.4,0,0.0,8,0.889,1,3,0,1,0,1,3,12,-18,320,4,2,44,1,0.88,1.0,1.0,12.0
2017,29,5,0.455,1,0.333,3,1.0,0,7,0,4,2,1,3,14,-4,322,6,2,37,1,0.88,1.0,1.0,17.5
2017,38,6,0.545,0,0.0,3,0.75,0,9,1,1,1,1,3,15,15,324,1,2,42,1,0.89,1.0,1.0,15.0
2017,34,5,0.455,3,0.75,5,1.0,1,6,4,1,1,1,1,18,4,326,3,2,48,0,0.84,0.5,0.9,19.0
2017,22,4,0.571,3,0.75,0,0.0,1,1,0,1,2,0,1,11,13,328,5,2,53,1,0.85,1.0,0.9,12.0
2017,38,4,0.4,1,0.2,2,0.667,0,2,0,0,0,1,3,11,14,329,6,1,54,1,0.86,1.0,0.9,11.0
2017,35,3,0.429,2,0.5,2,1.0,1,2,4,0,1,1,5,10,-13,331,1,2,65,0,0.82,0.0,0.8,10.0
2017,28,6,0.545,2,0.667,1,0.333,0,2,2,2,0,0,1,15,7,334,4,3,55,1,0.83,1.0,0.8,15.0
2017,27,6,0.75,1,1.0,2,1.0,1,5,2,2,2,1,2,15,8,336,6,2,56,1,0.83,1.0,0.8,15.0
2017,33,5,0.833,4,0.8,3,0.75,0,6,0,0,0,1,1,17,8,338,1,2,49,1,0.84,0.67,0.8,12.33
2017,33,5,0.455,2,0.667,5,0.833,1,9,0,1,0,0,2,17,16,340,3,2,42,1,0.85,1.0,0.8,16.0
2017,36,6,0.545,2,0.5,6,1.0,0,8,0,2,0,0,0,20,-7,342,5,2,59,0,0.81,0.5,0.7,13.5
2017,30,4,0.571,3,0.6,0,0.0,0,4,0,0,1,1,1,11,12,344,7,2,65,1,0.82,0.5,0.7,10.5
2017,29,1,0.143,0,0.0,2,0.5,1,9,1,1,1,0,3,4,-3,345,1,1,41,0,0.79,0.0,0.7,4.0
2017,28,6,0.667,1,1.0,2,0.667,0,4,2,0,1,1,1,15,4,347,3,2,43,1,0.8,1.0,0.7,15.0
2017,26,1,0.167,1,0.333,4,1.0,0,4,2,0,0,1,4,7,-7,349,5,2,62,0,0.77,0.0,0.6,7.0
2017,34,7,0.538,2,1.0,3,1.0,6,4,1,2,2,0,1,19,21,350,6,1,63,1,0.78,1.0,0.7,19.0
2017,31,6,0.75,1,1.0,3,1.0,0,5,4,1,1,2,3,16,6,352,1,2,54,1,0.79,1.0,0.7,13.5
2017,28,4,0.444,0,0.0,3,0.75,0,7,2,0,1,1,2,11,3,354,3,2,48,0,0.76,0.33,0.6,16.33
2017,34,6,0.6,2,0.333,3,0.75,1,2,0,2,0,3,1,17,-6,355,4,1,52,0,0.74,0.5,0.5,19.5
2017,33,6,0.462,1,0.333,0,0.0,0,7,5,1,0,0,2,13,23,357,6,2,41,1,0.75,0.5,0.5,8.5
2017,36,7,0.778,2,1.0,4,0.667,0,3,0,0,0,4,3,20,-8,359,1,2,64,0,0.73,0.0,0.5,20.0
2017,35,6,0.5,0,0.0,6,1.0,0,5,0,2,2,2,3,18,10,361,3,2,66,1,0.74,1.0,0.5,17.0
2017,40,5,0.455,0,0.0,9,0.818,0,5,1,2,1,0,0,19,6,362,4,1,45,1,0.74,1.0,0.6,19.0
2017,33,2,0.286,1,0.333,4,0.667,0,4,0,0,0,4,3,9,-3,365,7,3,51,1,0.75,1.0,0.6,14.0
2017,30,6,0.429,1,0.333,2,1.0,0,5,2,0,0,0,1,15,21,3,3,3,39,1,0.76,0.5,0.7,14.5
2017,31,2,0.286,0,0.0,0,0.0,1,2,1,1,0,0,1,4,-11,5,5,2,50,1,0.76,1.0,0.7,4.0
